
CR 0: IF gammagt <= 7.50 THEN class = 1 (p=9, n=0, P=145, N=200)

CR 1: IF gammagt <= 9.00 THEN class = 1 (p=14, n=5, P=145, N=200)

CR 2: IF gammagt <= 10.00 AND mcv >= 87.50 AND alkphos >= 58.00 AND alkphos <= 84.50 THEN class = 1 (p=11, n=1, P=145, N=200)

CR 3: IF gammagt <= 12.00 AND sgpt >= 22.00 THEN class = 1 (p=19, n=4, P=145, N=200)

CR 4: IF drinks >= 13.50 THEN class = 1 (p=5, n=0, P=145, N=200)

CR 5: IF sgot <= 13.00 AND alkphos >= 57.00 THEN class = 1 (p=9, n=2, P=145, N=200)

CR 6: IF sgot <= 14.00 AND mcv >= 87.50 THEN class = 1 (p=14, n=4, P=145, N=200)

CR 7: IF gammagt <= 20.50 AND sgpt >= 25.00 THEN class = 1 (p=37, n=6, P=145, N=200)

CR 8: IF gammagt <= 20.50 AND sgpt >= 19.50 AND sgot <= 21.00 THEN class = 1 (p=38, n=5, P=145, N=200)

CR 9: IF gammagt <= 20.50 AND alkphos >= 76.50 THEN class = 1 (p=27, n=8, P=145, N=200)

CR 10: IF gammagt <= 20.50 AND sgpt >= 10.50 AND alkphos >= 52.00 AND mcv <= 97.50 AND mcv >= 82.00 THEN class = 1 (p=68, n=39, P=145, N=200)

CR 11: IF gammagt <= 22.00 AND sgpt >= 18.50 AND alkphos >= 59.50 THEN class = 1 (p=51, n=18, P=145, N=200)

CR 12: IF sgot <= 19.00 AND sgpt >= 21.50 THEN class = 1 (p=34, n=10, P=145, N=200)

CR 13: IF gammagt <= 28.00 AND sgpt >= 30.50 THEN class = 1 (p=25, n=6, P=145, N=200)

CR 14: IF gammagt <= 35.00 AND sgpt >= 30.50 THEN class = 1 (p=33, n=10, P=145, N=200)

CR 15: IF gammagt <= 35.00 AND sgpt >= 22.50 AND mcv >= 85.50 AND alkphos >= 50.00 THEN class = 1 (p=62, n=24, P=145, N=200)

CR 16: IF alkphos >= 93.50 AND sgot <= 26.50 AND gammagt >= 38.50 THEN class = 1 (p=5, n=2, P=145, N=200)

CR 17: IF drinks >= 5.50 AND sgpt >= 61.50 THEN class = 1 (p=8, n=3, P=145, N=200)

CR 18: IF drinks >= 5.50 AND sgpt >= 36.50 AND sgpt <= 51.50 THEN class = 1 (p=11, n=1, P=145, N=200)

CR 19: IF drinks >= 5.50 AND mcv >= 92.00 AND sgot <= 46.00 AND sgpt >= 25.50 AND mcv <= 99.50 THEN class = 1 (p=23, n=9, P=145, N=200)

CR 20: IF alkphos >= 65.50 AND sgot <= 46.00 AND sgpt >= 17.50 AND alkphos <= 87.00 AND mcv >= 84.00 THEN class = 1 (p=58, n=38, P=145, N=200)

CR 21: IF sgpt <= 9.50 THEN class = 2 (p=5, n=0, P=200, N=145)

CR 22: IF sgot >= 60.50 THEN class = 2 (p=5, n=0, P=200, N=145)

CR 23: IF sgot >= 44.00 THEN class = 2 (p=15, n=2, P=200, N=145)

CR 24: IF sgpt <= 15.00 THEN class = 2 (p=32, n=9, P=200, N=145)

CR 25: IF sgpt <= 19.00 THEN class = 2 (p=64, n=23, P=200, N=145)

CR 26: IF gammagt >= 37.00 THEN class = 2 (p=81, n=31, P=200, N=145)

CR 27: IF alkphos <= 59.00 THEN class = 2 (p=77, n=30, P=200, N=145)

CR 28: IF gammagt >= 35.00 THEN class = 2 (p=86, n=36, P=200, N=145)

CR 29: IF mcv <= 85.00 THEN class = 2 (p=33, n=12, P=200, N=145)

CR 30: IF mcv <= 87.00 THEN class = 2 (p=64, n=26, P=200, N=145)

CR 31: IF gammagt >= 21.50 AND sgpt <= 27.00 THEN class = 2 (p=60, n=15, P=200, N=145)

CR 32: IF sgot >= 23.00 AND gammagt >= 15.50 THEN class = 2 (p=103, n=44, P=200, N=145)
