
CR 0: IF rimmx = {t} THEN class = won (p=584, n=0, P=1669, N=1527)

CR 1: IF katri = {w} THEN class = won (p=348, n=98, P=1669, N=1527)

CR 2: IF wknck = {f} THEN class = won (p=1319, n=665, P=1669, N=1527)

CR 3: IF bxqsq = {f} THEN class = won (p=1441, n=784, P=1669, N=1527)

CR 4: IF stlmt = {t} THEN class = nowin (p=47, n=0, P=1527, N=1669)

CR 5: IF hdchk = {t} THEN class = nowin (p=15, n=0, P=1527, N=1669)

CR 6: IF wkna8 = {t} THEN class = nowin (p=155, n=20, P=1527, N=1669)

CR 7: IF bxqsq = {t} THEN class = nowin (p=743, n=228, P=1527, N=1669)

CR 8: IF mulch = {t} THEN class = nowin (p=129, n=27, P=1527, N=1669)

CR 9: IF wknck = {t} THEN class = nowin (p=862, n=350, P=1527, N=1669)

CR 10: IF bkxwp = {t} THEN class = nowin (p=486, n=210, P=1527, N=1669)

CR 11: IF rimmx = {f} AND bkxbq = {f} THEN class = nowin (p=934, n=458, P=1527, N=1669)
