
CR 0: IF gammagt <= 7.50 THEN class = 1 (p=9, n=0, P=145, N=200)

CR 1: IF gammagt <= 9.00 AND mcv >= 83.00 AND drinks <= 3.50 AND sgot <= 23.50 THEN class = 1 (p=9, n=0, P=145, N=200)

CR 2: IF gammagt <= 10.00 AND mcv >= 87.50 AND alkphos >= 58.00 AND alkphos <= 84.50 THEN class = 1 (p=11, n=1, P=145, N=200)

CR 3: IF gammagt <= 12.00 AND sgpt >= 22.00 AND mcv >= 91.50 THEN class = 1 (p=7, n=0, P=145, N=200)

CR 4: IF gammagt <= 12.00 AND sgpt >= 22.00 AND sgot <= 24.50 AND alkphos <= 74.00 THEN class = 1 (p=14, n=1, P=145, N=200)

CR 5: IF drinks >= 13.50 THEN class = 1 (p=5, n=0, P=145, N=200)

CR 6: IF sgot <= 13.00 AND alkphos >= 57.00 AND gammagt <= 53.50 AND mcv >= 86.50 THEN class = 1 (p=8, n=0, P=145, N=200)

CR 7: IF sgot <= 14.00 AND mcv >= 87.50 AND sgpt >= 12.00 AND gammagt <= 61.50 THEN class = 1 (p=13, n=1, P=145, N=200)

CR 8: IF gammagt <= 20.50 AND sgpt >= 25.00 AND alkphos >= 55.50 THEN class = 1 (p=30, n=2, P=145, N=200)

CR 9: IF gammagt <= 20.50 AND sgpt >= 25.00 AND sgot <= 29.50 AND mcv >= 85.50 THEN class = 1 (p=30, n=3, P=145, N=200)

CR 10: IF gammagt <= 20.50 AND sgpt >= 19.50 AND sgot <= 21.00 AND drinks <= 3.50 THEN class = 1 (p=33, n=2, P=145, N=200)

CR 11: IF gammagt <= 20.50 AND alkphos >= 76.50 AND mcv >= 89.00 AND alkphos <= 96.50 THEN class = 1 (p=14, n=0, P=145, N=200)

CR 12: IF gammagt <= 20.50 AND alkphos >= 59.50 AND mcv >= 91.00 AND mcv <= 100.00 AND sgpt <= 40.00 THEN class = 1 (p=31, n=4, P=145, N=200)

CR 13: IF gammagt <= 22.00 AND sgpt >= 18.50 AND alkphos >= 59.50 AND mcv >= 85.50 AND mcv <= 95.00 THEN class = 1 (p=48, n=10, P=145, N=200)

CR 14: IF sgot <= 19.00 AND sgpt >= 21.50 AND gammagt <= 29.50 THEN class = 1 (p=30, n=3, P=145, N=200)

CR 15: IF sgot <= 19.00 AND sgpt >= 17.00 AND alkphos >= 65.50 AND gammagt <= 60.00 AND gammagt >= 25.00 THEN class = 1 (p=11, n=1, P=145, N=200)

CR 16: IF gammagt <= 28.00 AND sgpt >= 30.50 AND sgot <= 32.00 AND drinks >= 0.25 THEN class = 1 (p=25, n=2, P=145, N=200)

CR 17: IF gammagt <= 35.00 AND sgpt >= 30.50 AND alkphos >= 64.50 THEN class = 1 (p=19, n=2, P=145, N=200)

CR 18: IF sgpt >= 26.00 AND sgot <= 32.00 AND drinks >= 0.50 AND gammagt <= 34.00 THEN class = 1 (p=50, n=20, P=145, N=200)

CR 19: IF gammagt <= 36.00 AND alkphos >= 50.50 AND sgpt >= 13.00 AND mcv <= 99.00 AND mcv >= 71.50 THEN class = 1 (p=99, n=86, P=145, N=200)

CR 20: IF alkphos >= 93.50 AND sgot <= 26.50 AND gammagt >= 38.50 AND mcv <= 92.50 THEN class = 1 (p=5, n=1, P=145, N=200)

CR 21: IF drinks >= 5.50 AND sgpt >= 36.50 AND sgot <= 37.50 AND mcv >= 89.00 AND alkphos <= 100.50 THEN class = 1 (p=14, n=1, P=145, N=200)

CR 22: IF drinks >= 5.50 AND sgpt >= 36.50 AND mcv >= 89.00 AND gammagt >= 70.00 AND alkphos <= 94.50 THEN class = 1 (p=12, n=1, P=145, N=200)

CR 23: IF drinks >= 5.50 AND mcv >= 92.00 AND sgot <= 46.00 AND mcv <= 99.50 AND gammagt <= 203.00 THEN class = 1 (p=32, n=15, P=145, N=200)

CR 24: IF sgot <= 33.00 AND alkphos >= 57.00 AND alkphos <= 82.00 AND sgpt >= 28.00 THEN class = 1 (p=37, n=21, P=145, N=200)

CR 25: IF sgpt <= 9.50 THEN class = 2 (p=5, n=0, P=200, N=145)

CR 26: IF sgot >= 60.50 THEN class = 2 (p=5, n=0, P=200, N=145)

CR 27: IF sgot >= 44.00 AND mcv <= 97.50 THEN class = 2 (p=13, n=0, P=200, N=145)

CR 28: IF sgpt <= 15.00 AND sgpt >= 13.50 THEN class = 2 (p=16, n=1, P=200, N=145)

CR 29: IF sgpt <= 15.00 AND mcv <= 91.00 AND drinks >= 3.50 THEN class = 2 (p=14, n=0, P=200, N=145)

CR 30: IF sgpt <= 15.00 AND drinks <= 5.50 AND alkphos <= 70.50 THEN class = 2 (p=23, n=1, P=200, N=145)

CR 31: IF sgpt <= 19.00 AND mcv <= 88.50 THEN class = 2 (p=27, n=2, P=200, N=145)

CR 32: IF sgpt <= 19.00 AND alkphos <= 64.50 AND sgot >= 17.50 THEN class = 2 (p=24, n=1, P=200, N=145)

CR 33: IF sgpt <= 19.00 AND mcv <= 90.00 AND sgot >= 10.50 AND gammagt >= 7.50 AND gammagt <= 35.00 THEN class = 2 (p=39, n=5, P=200, N=145)

CR 34: IF sgpt <= 19.00 AND alkphos <= 79.00 AND gammagt >= 7.50 AND alkphos <= 77.50 AND drinks <= 5.50 THEN class = 2 (p=46, n=5, P=200, N=145)

CR 35: IF gammagt >= 37.00 AND mcv <= 83.50 THEN class = 2 (p=8, n=0, P=200, N=145)

CR 36: IF gammagt >= 37.00 AND drinks <= 5.50 AND alkphos <= 79.00 THEN class = 2 (p=40, n=3, P=200, N=145)

CR 37: IF gammagt >= 37.00 AND drinks <= 5.50 AND drinks >= 0.75 AND alkphos >= 84.00 THEN class = 2 (p=9, n=0, P=200, N=145)

CR 38: IF gammagt >= 37.00 AND alkphos <= 61.50 AND sgpt <= 36.50 THEN class = 2 (p=20, n=2, P=200, N=145)

CR 39: IF gammagt >= 37.00 AND sgpt <= 35.00 AND sgot >= 24.00 THEN class = 2 (p=26, n=2, P=200, N=145)

CR 40: IF gammagt >= 37.00 AND drinks <= 6.00 AND sgot >= 16.50 AND gammagt <= 73.50 AND alkphos <= 103.50 THEN class = 2 (p=39, n=6, P=200, N=145)

CR 41: IF gammagt >= 37.00 AND drinks <= 12.00 AND sgot >= 16.50 AND sgpt <= 57.50 AND alkphos <= 130.00 THEN class = 2 (p=66, n=17, P=200, N=145)

CR 42: IF alkphos <= 59.00 AND sgpt <= 22.00 AND alkphos >= 55.00 THEN class = 2 (p=20, n=1, P=200, N=145)

CR 43: IF alkphos <= 59.00 AND sgpt <= 22.00 AND gammagt >= 8.00 AND sgpt >= 13.50 THEN class = 2 (p=29, n=2, P=200, N=145)

CR 44: IF alkphos <= 59.00 AND alkphos >= 54.50 AND sgpt <= 31.00 AND sgpt <= 30.50 THEN class = 2 (p=27, n=2, P=200, N=145)

CR 45: IF alkphos <= 59.00 AND sgot >= 24.00 AND drinks <= 5.50 AND alkphos >= 42.00 AND sgpt >= 14.00 THEN class = 2 (p=22, n=0, P=200, N=145)

CR 46: IF gammagt >= 35.00 AND drinks <= 4.00 AND alkphos <= 94.00 AND sgot >= 15.00 AND sgpt <= 42.00 THEN class = 2 (p=32, n=4, P=200, N=145)

CR 47: IF mcv <= 85.00 AND alkphos <= 78.50 AND mcv >= 82.00 AND alkphos >= 49.00 THEN class = 2 (p=22, n=2, P=200, N=145)

CR 48: IF mcv <= 87.00 AND drinks >= 3.50 AND sgpt <= 31.00 THEN class = 2 (p=22, n=0, P=200, N=145)

CR 49: IF gammagt >= 21.50 AND sgpt <= 27.00 AND sgot >= 24.00 THEN class = 2 (p=24, n=2, P=200, N=145)

CR 50: IF gammagt >= 21.50 AND sgpt <= 31.00 AND sgot >= 18.00 AND alkphos <= 93.00 AND drinks <= 6.00 THEN class = 2 (p=58, n=8, P=200, N=145)

CR 51: IF mcv <= 88.00 AND sgot >= 20.00 AND gammagt >= 10.50 AND alkphos >= 41.50 AND sgpt <= 69.00 THEN class = 2 (p=57, n=14, P=200, N=145)

CR 52: IF sgot >= 22.00 AND drinks <= 4.00 AND gammagt >= 10.50 AND sgpt >= 14.00 AND alkphos >= 41.50 THEN class = 2 (p=73, n=26, P=200, N=145)
