
CR 0: IF rimmx = {t} THEN class = won (p=584, n=0, P=1669, N=1527)

CR 1: IF katri = {w} THEN class = won (p=348, n=98, P=1669, N=1527)

CR 2: IF wknck = {f} AND bxqsq = {f} THEN class = won (p=1207, n=260, P=1669, N=1527)

CR 3: IF bxqsq = {f} AND wkpos = {t} THEN class = won (p=1128, n=440, P=1669, N=1527)

CR 4: IF bxqsq = {f} AND wkna8 = {f} AND skrxp = {f} THEN class = won (p=1398, n=551, P=1669, N=1527)

CR 5: IF stlmt = {t} THEN class = nowin (p=47, n=0, P=1527, N=1669)

CR 6: IF hdchk = {t} THEN class = nowin (p=15, n=0, P=1527, N=1669)

CR 7: IF wkna8 = {t} THEN class = nowin (p=155, n=20, P=1527, N=1669)

CR 8: IF bxqsq = {t} THEN class = nowin (p=743, n=228, P=1527, N=1669)

CR 9: IF mulch = {t} THEN class = nowin (p=129, n=27, P=1527, N=1669)

CR 10: IF wknck = {t} THEN class = nowin (p=862, n=350, P=1527, N=1669)

CR 11: IF bkxwp = {t} AND rxmsq = {t} THEN class = nowin (p=22, n=0, P=1527, N=1669)

CR 12: IF bkxwp = {t} AND bkxbq = {f} THEN class = nowin (p=298, n=81, P=1527, N=1669)

CR 13: IF rimmx = {f} AND bkxbq = {f} AND bkona = {t} THEN class = nowin (p=60, n=8, P=1527, N=1669)

CR 14: IF rimmx = {f} AND bkxbq = {f} AND wkpos = {f} THEN class = nowin (p=398, n=107, P=1527, N=1669)

CR 15: IF rimmx = {f} AND bkxbq = {f} AND bkxcr = {t} THEN class = nowin (p=428, n=125, P=1527, N=1669)

CR 16: IF rimmx = {f} AND bkxbq = {f} AND katri = {b} THEN class = nowin (p=118, n=31, P=1527, N=1669)

CR 17: IF rimmx = {f} AND bkxbq = {f} AND cntxt = {f} THEN class = nowin (p=550, n=207, P=1527, N=1669)
